Title,Author,Genre,Price,Quantity
The Alchemist,Paulo Coelho,Fiction,299,20
Atomic Habits,James Clear,Self-help,450,15
Rich Dad Poor Dad,Robert Kiyosaki,Finance,350,25
Python Basics,John Doe,Education,500,10
Data Science 101,Jane Smith,Education,650,18
Think and Grow Rich,Napoleon Hill,Self-help,300,30
Deep Work,Cal Newport,Productivity,400,22
Clean Code,Robert Martin,Programming,550,12
Machine Learning Guide,Alan Turing,Technology,800,17
The Power of Habit,Charles Duhigg,Self-help,450,14
Zero to One,Peter Thiel,Business,600,19
Sapiens,Yuval Noah Harari,History,750,8
The Psychology of Money,Morgan Housel,Finance,500,26
Introduction to AI,Andrew Ng,Technology,900,9
SQL for Beginners,Alex Becker,Education,350,24
